epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.1313,1.57355,1.98549,1.39934,0.53418,0.47274,0.47071,0.2446,1.68797,1.83063,1.59842,0.000659933,0.000659933,0.000659933
2,128.005,1.58193,1.47721,1.41632,0.62768,0.4957,0.53217,0.26691,1.68751,1.74154,1.54261,0.00130033,0.00130033,0.00130033
3,206.013,1.61159,1.46861,1.43451,0.50926,0.52582,0.49038,0.24846,1.70251,1.70647,1.56753,0.00191433,0.00191433,0.00191433
4,265.551,1.57518,1.42892,1.40656,0.61918,0.57385,0.60353,0.31036,1.62263,1.56786,1.5007,0.0018812,0.0018812,0.0018812
5,306.204,1.55605,1.39313,1.39218,0.59173,0.53753,0.55003,0.28457,1.62324,1.67399,1.5161,0.0018416,0.0018416,0.0018416
6,346.867,1.49954,1.32412,1.36882,0.65632,0.54735,0.61389,0.34481,1.53056,1.76847,1.44289,0.001802,0.001802,0.001802
7,386.491,1.47536,1.2788,1.36128,0.63052,0.5495,0.59942,0.34034,1.51067,1.44179,1.40543,0.0017624,0.0017624,0.0017624
8,434.448,1.44834,1.23708,1.33634,0.68648,0.55133,0.62559,0.36596,1.5179,1.34124,1.43082,0.0017228,0.0017228,0.0017228
9,464.68,1.44448,1.19723,1.3165,0.68888,0.60516,0.67564,0.40052,1.43224,1.27024,1.36562,0.0016832,0.0016832,0.0016832
10,500.395,1.39264,1.16086,1.2958,0.71527,0.62052,0.69119,0.41577,1.3956,1.18989,1.3277,0.0016436,0.0016436,0.0016436
11,535.58,1.38835,1.14114,1.29702,0.69358,0.58131,0.64692,0.38921,1.42218,1.26732,1.34981,0.001604,0.001604,0.001604
12,576.696,1.37578,1.13502,1.28266,0.7273,0.63773,0.71154,0.42875,1.36951,1.13953,1.30024,0.0015644,0.0015644,0.0015644
13,615.382,1.35659,1.1147,1.27256,0.7298,0.63486,0.70284,0.41072,1.41354,1.22101,1.34182,0.0015248,0.0015248,0.0015248
14,648.203,1.35077,1.08912,1.2717,0.72851,0.64294,0.72397,0.42575,1.43317,1.13013,1.37126,0.0014852,0.0014852,0.0014852
15,688.541,1.34297,1.07538,1.2585,0.73214,0.6647,0.7242,0.44167,1.37528,1.10792,1.32679,0.0014456,0.0014456,0.0014456
16,724.357,1.31367,1.02233,1.24082,0.74481,0.63558,0.72835,0.45772,1.33823,1.08938,1.29993,0.001406,0.001406,0.001406
17,753.774,1.30133,1.01503,1.24716,0.73394,0.63322,0.71385,0.43672,1.34622,1.15928,1.30551,0.0013664,0.0013664,0.0013664
18,783.315,1.28991,1.02569,1.25394,0.75759,0.62775,0.72986,0.4579,1.31134,1.07502,1.28556,0.0013268,0.0013268,0.0013268
19,812.896,1.27396,1.00506,1.22193,0.73808,0.63069,0.69912,0.42721,1.35416,1.21997,1.30591,0.0012872,0.0012872,0.0012872
20,842.372,1.25234,0.99402,1.2178,0.74001,0.66499,0.74295,0.46679,1.31643,1.05992,1.28136,0.0012476,0.0012476,0.0012476
21,871.783,1.25268,0.97291,1.22165,0.7533,0.67288,0.75175,0.45901,1.32805,1.0552,1.28474,0.001208,0.001208,0.001208
22,906.471,1.24506,0.95061,1.20888,0.73676,0.65638,0.72842,0.457,1.30809,1.08775,1.29825,0.0011684,0.0011684,0.0011684
23,942.882,1.22595,0.93505,1.19823,0.7619,0.668,0.74646,0.47025,1.28686,1.02681,1.27096,0.0011288,0.0011288,0.0011288
